date,fund,return
2023-05-08,Equity Equal Weight,-0.00069437
2023-05-09,Equity Equal Weight,-0.00425872
2023-05-10,Equity Equal Weight,-0.00177833
2023-05-11,Equity Equal Weight,-0.00897295
2023-05-12,Equity Equal Weight,-0.00083887
2023-05-15,Equity Equal Weight,0.00456688
2023-05-16,Equity Equal Weight,-0.01596932
2023-05-17,Equity Equal Weight,0.01231908
2023-05-18,Equity Equal Weight,0.00588537
2023-05-19,Equity Equal Weight,-0.00247501
2023-05-22,Equity Equal Weight,0.00067332
2023-05-23,Equity Equal Weight,-0.00715886
2023-05-24,Equity Equal Weight,-0.00924303
2023-05-25,Equity Equal Weight,9.279e-05
2023-05-26,Equity Equal Weight,0.00866367
2023-05-30,Equity Equal Weight,-0.00181907
2023-05-31,Equity Equal Weight,-0.00466309
2023-06-01,Equity Equal Weight,0.00514832
2023-06-02,Equity Equal Weight,0.0195002
2023-06-05,Equity Equal Weight,-0.00589695
2023-06-06,Equity Equal Weight,0.00440318
2023-06-07,Equity Equal Weight,0.00825333
2023-06-08,Equity Equal Weight,0.00410588
2023-06-09,Equity Equal Weight,-0.00280273
2023-06-12,Equity Equal Weight,0.00522866
2023-06-13,Equity Equal Weight,0.00731872
2023-06-14,Equity Equal Weight,0.00012724
2023-06-15,Equity Equal Weight,0.01000351
2023-06-16,Equity Equal Weight,0.00055021
2023-06-20,Equity Equal Weight,-0.01262241
2023-06-21,Equity Equal Weight,-0.00316489
2023-06-22,Equity Equal Weight,-0.00559242
2023-06-23,Equity Equal Weight,-0.00725958
2023-06-26,Equity Equal Weight,0.0066825
2023-06-27,Equity Equal Weight,0.0072229
2023-06-28,Equity Equal Weight,-0.00170404
2023-06-29,Equity Equal Weight,0.00633388
2023-06-30,Equity Equal Weight,0.00831403
2023-07-03,Equity Equal Weight,0.00567713
2023-07-05,Equity Equal Weight,-0.00424065
2023-07-06,Equity Equal Weight,-0.01208414
2023-07-07,Equity Equal Weight,0.00068191
2023-07-10,Equity Equal Weight,0.00477967
2023-07-11,Equity Equal Weight,0.01421169
2023-07-12,Equity Equal Weight,0.00823735
2023-07-13,Equity Equal Weight,0.00561329
2023-07-14,Equity Equal Weight,-0.00660969
2023-07-17,Equity Equal Weight,-0.00355961
2023-07-18,Equity Equal Weight,0.0059362
2023-07-19,Equity Equal Weight,0.00603795
2023-07-20,Equity Equal Weight,0.00174808
2023-07-21,Equity Equal Weight,0.00448989
2023-07-24,Equity Equal Weight,0.00546494
2023-07-25,Equity Equal Weight,0.00341601
2023-07-26,Equity Equal Weight,0.00219046
2023-07-27,Equity Equal Weight,-0.00463401
2023-07-28,Equity Equal Weight,0.00424132
2023-07-31,Equity Equal Weight,0.00431474
2023-08-01,Equity Equal Weight,-0.0036317
2023-08-02,Equity Equal Weight,-0.01369928
2023-08-03,Equity Equal Weight,-0.00493158
2023-08-04,Equity Equal Weight,-0.00219702
2023-08-07,Equity Equal Weight,0.00802041
2023-08-08,Equity Equal Weight,-0.00344094
2023-08-09,Equity Equal Weight,-0.0019256
2023-08-10,Equity Equal Weight,0.00096444
2023-08-11,Equity Equal Weight,0.00167582
2023-08-14,Equity Equal Weight,0.00170628
2023-08-15,Equity Equal Weight,-0.01322546
2023-08-16,Equity Equal Weight,-0.00818612
2023-08-17,Equity Equal Weight,-0.00465579
2023-08-18,Equity Equal Weight,0.00173303
2023-08-21,Equity Equal Weight,-0.00051313
2023-08-22,Equity Equal Weight,-0.0049044
2023-08-23,Equity Equal Weight,0.00732178
2023-08-24,Equity Equal Weight,-0.01222858
2023-08-25,Equity Equal Weight,0.00491251
2023-08-28,Equity Equal Weight,0.00836488
2023-08-29,Equity Equal Weight,0.01198248
2023-08-30,Equity Equal Weight,0.00158497
2023-08-31,Equity Equal Weight,-0.00305557
2023-09-01,Equity Equal Weight,0.00404907
2023-09-05,Equity Equal Weight,-0.00872481
2023-09-06,Equity Equal Weight,-0.00417615
2023-09-07,Equity Equal Weight,-0.00017341
2023-09-08,Equity Equal Weight,0.00263792
