trade_date,ticker,sector,sentiment,n_headlines
2022-02-08,NEE,Utilities,0.4438,2
2022-02-08,NEM,Materials,-0.3716,1
2022-02-08,NKE,Consumer,0.22852222222222224,9
2022-02-08,NUE,Materials,0.1591,2
2022-02-08,NVDA,Tech,0.28787083333333335,24
2022-02-08,O,RealEstate,0.2997,2
2022-02-08,OXY,Energy,0.33798,5
2022-02-08,PSA,RealEstate,0.5248,2
2022-02-08,QCOM,Tech,0.2658142857142857,7
2022-02-08,SBUX,Consumer,0.15262,5
2022-02-08,T,Comm,0.0,1
2022-02-08,TMUS,Comm,0.33335000000000004,2
2022-02-08,TTWO,Comm,0.31948333333333334,6
2022-02-08,UPS,Industrials,0.039,3
2022-02-08,USB,Financials,0.31245,2
2022-02-08,V,Financials,0.3708666666666667,3
2022-02-08,WFC,Financials,0.44308333333333333,6
2022-02-08,WMT,Consumer,0.3705,3
2022-02-08,XOM,Energy,0.27843999999999997,10
2022-02-09,ABBV,Healthcare,0.48324999999999996,2
2022-02-09,ABT,Healthcare,0.1027,1
2022-02-09,ADBE,Tech,0.3818,1
2022-02-09,AMD,Tech,0.24367999999999998,5
2022-02-09,AMGN,Healthcare,0.2217,6
2022-02-09,AMT,RealEstate,0.0086,3
2022-02-09,BA,Industrials,0.2023,1
2022-02-09,CCI,RealEstate,0.2202,2
2022-02-09,CMCSA,Comm,-0.2787,2
2022-02-09,COP,Energy,0.3487,6
2022-02-09,CVX,Energy,0.3818,1
2022-02-09,D,Utilities,0.5106,1
2022-02-09,DIS,Consumer,0.2401047619047619,21
2022-02-09,DUK,Utilities,0.30870000000000003,3
2022-02-09,EA,Comm,0.4005,1
2022-02-09,GILD,Healthcare,0.46423333333333333,6
2022-02-09,GS,Financials,0.22345,4
2022-02-09,INTC,Tech,0.4576,1
2022-02-09,KO,Consumer,0.28052499999999997,4
2022-02-09,MMM,Industrials,0.3397,2
2022-02-09,MRK,Healthcare,0.3640666666666667,3
2022-02-09,MS,Financials,0.363,3
2022-02-09,NEE,Utilities,0.3506,2
2022-02-09,NKE,Consumer,-0.009200000000000009,5
2022-02-09,NUE,Materials,0.0,1
2022-02-09,NVDA,Tech,0.19868461538461538,13
2022-02-09,O,RealEstate,0.1531,1
2022-02-09,OXY,Energy,0.26533333333333337,6
2022-02-09,PLD,RealEstate,0.1909,2
2022-02-09,PSA,RealEstate,0.012200000000000003,2
